,Player,Team,Nation,Position
2121,Mats Wieffer,Brighton & Hove Albion,NED,DM
2122,Ferdi Kadioglu,Brighton & Hove Albion,TUR,LB
2123,Pervis Estupiñán,Brighton & Hove Albion,ECU,LB
2124,Lewis Dunk,Brighton & Hove Albion,ENG,CB
2125,Adam Webster,Brighton & Hove Albion,ENG,CB
2126,Igor,Brighton & Hove Albion,BRA,CB
2127,Joël Veltman,Brighton & Hove Albion,NED,RB
2128,Bart Verbruggen,Brighton & Hove Albion,NED,GK
2129,Dominic Solanke,Tottenham Hotspur,ENG,FW
2130,Timo Werner,Tottenham Hotspur,GER,LW
2131,Pape Matar Sarr,Tottenham Hotspur,SEN,RM
2132,Brennan Johnson,Tottenham Hotspur,WAL,RW
2133,James Maddison,Tottenham Hotspur,ENG,LM
2134,Mikey Moore,Tottenham Hotspur,ENG,LW
2135,Rodrigo Bentancur,Tottenham Hotspur,URU,CM
2136,Yves Bissouma,Tottenham Hotspur,MLI,CM
2137,Dejan Kulusevski,Tottenham Hotspur,SWE,"RM,LM,LW"
2138,Destiny Udogie,Tottenham Hotspur,ITA,LB
2139,Micky van de Ven,Tottenham Hotspur,NED,CB
2140,Cristian Romero,Tottenham Hotspur,ARG,CB
2141,Pedro Porro,Tottenham Hotspur,ESP,RB
2142,Guglielmo Vicario,Tottenham Hotspur,ITA,GK
2143,Dominic Solanke,Tottenham Hotspur,ENG,FW
2144,Richarlison,Tottenham Hotspur,BRA,FW
2145,Son Heung-min,Tottenham Hotspur,KOR,LW
2146,Timo Werner,Tottenham Hotspur,GER,LW
2147,Brennan Johnson,Tottenham Hotspur,WAL,RW
2148,James Maddison,Tottenham Hotspur,ENG,LM
2149,Pape Matar Sarr,Tottenham Hotspur,SEN,LM
2150,Yves Bissouma,Tottenham Hotspur,MLI,CM
2151,Rodrigo Bentancur,Tottenham Hotspur,URU,CM
2152,Dejan Kulusevski,Tottenham Hotspur,SWE,RM
2153,Destiny Udogie,Tottenham Hotspur,ITA,LB
2154,Archie Gray,Tottenham Hotspur,ENG,LB
2155,Micky van de Ven,Tottenham Hotspur,NED,CB
2156,Cristian Romero,Tottenham Hotspur,ARG,CB
2157,Pedro Porro,Tottenham Hotspur,ESP,RB
2158,Guglielmo Vicario,Tottenham Hotspur,ITA,GK
2159,Michail Antonio,West Ham United,JAM,FW
2160,Crysencio Summerville,West Ham United,NED,"AM,LM"
2161,Mohammed Kudus,West Ham United,GHA,"LM,AM,RM"
2162,Lucas Paquetá,West Ham United,BRA,CM
2163,Edson Álvarez,West Ham United,MEX,CM
2164,Tomáš Souček,West Ham United,CZE,CM
2165,Carlos Soler,West Ham United,ESP,CM
2166,Jarrod Bowen,West Ham United,ENG,"RM,FW"
2167,Guido Rodríguez,West Ham United,ARG,DM
2168,Konstantinos Mavropanos,West Ham United,GRE,CB
2169,Emerson Palmieri,West Ham United,ITA,"LB,WB"
2170,Max Kilman,West Ham United,ENG,CB
2171,Jean-Clair Todibo,West Ham United,FRA,CB
2172,Aaron Wan-Bissaka,West Ham United,ENG,"RB,WB"
2173,Alphonse Areola,West Ham United,FRA,GK
2174,Cameron Archer,Southampton,ENG,FW
2175,Paul Onuachu,Southampton,NGA,FW
2176,Ryan Manning,Southampton,IRL,"LW,LB"
2177,Charlie Taylor,Southampton,ENG,LB
2178,Tyler Dibling,Southampton,ENG,RW
2179,Kamaldeen Sulemana,Southampton,GHA,RW
2180,Mateus Fernandes,Southampton,POR,CM
2181,William Smallbone,Southampton,IRL,CM
2182,Flynn Downes,Southampton,ENG,CM
2183,Joe Aribo,Southampton,NGA,"CM,LW"
2184,Kyle Walker-Peters,Southampton,ENG,"LB,RB"
2185,Jan Bednarek,Southampton,POL,CB
2186,Taylor Harwood-Bellis,Southampton,ENG,CB
2187,Yukinari Sugawara,Southampton,JPN,RB
2188,Ryan Fraser,Southampton,SCO,LW
2189,Aaron Ramsdale,Southampton,ENG,GK
2190,Jamie Vardy,Leicester City,ENG,FW
2191,Stephy Mavididi,Leicester City,ENG,LW
2192,Bobby Reid,Leicester City,JAM,LW
2193,Facundo Buonanotte,Leicester City,ARG,RW
2194,Bilal El Khannouss,Leicester City,MAR,AM
2195,Jordan Ayew,Leicester City,GHA,AM
2196,Oliver Skipp,Leicester City,ENG,DM
2197,Harry Winks,Leicester City,ENG,DM
2198,Wilfred Ndidi,Leicester City,NGA,DM
2199,Victor Bernth Kristiansen,Leicester City,DEN,LB
2200,Abdul Fatawu Issahaku,Leicester City,GHA,RB
2201,Caleb Okoli,Leicester City,ITA,CB
2202,Wout Faes,Leicester City,BEL,CB
2203,James Justin,Leicester City,ENG,"RB,LB"
2204,Mads Hermansen,Leicester City,DEN,GK
2205,Liam Delap,Ipswich Town,ENG,FW
2206,George Hirst,Ipswich Town,ENG,FW
2207,Jack Clarke,Ipswich Town,ENG,LW
2208,Sammie Szmodics,Ipswich Town,IRL,LW
2209,Wes Burns,Ipswich Town,WAL,RW
2210,Conor Chaplin,Ipswich Town,ENG,"AM,RW"
2211,Omari Hutchinson,Ipswich Town,ENG,"AM,RW"
2212,Kalvin Phillips,Ipswich Town,ENG,DM
2213,Jack Taylor,Ipswich Town,IRL,DM
2214,Sam Morsy,Ipswich Town,EGY,DM
2215,Leif Davis,Ipswich Town,ENG,LB
2216,Cameron Burgess,Ipswich Town,AUS,CB
2217,Luke Woolfenden,Ipswich Town,ENG,CB
2218,Dara O'Shea,Ipswich Town,IRL,RB
2219,Harry Clarke,Ipswich Town,ENG,RB
2220,Arijanet Muric,Ipswich Town,KVX,GK
2221,Dominic Calvert-Lewin,Everton,ENG,FW
2222,Iliman Ndiaye,Everton,SEN,LW
2223,Orel Mangala,Everton,BEL,DM
2224,Jack Harrison,Everton,ENG,RW
2225,Dwight McNeil,Everton,ENG,"AM,LW"
2226,Idrissa Gana Gueye,Everton,SEN,DM
2227,Abdoulaye Doucouré,Everton,MLI,"DM,AM"
2228,Vitaliy Mykolenko,Everton,UKR,LB
2229,Michael Keane,Everton,ENG,CB
2230,James Tarkowski,Everton,ENG,CB
2231,Ashley Young,Everton,ENG,RB
2232,Jordan Pickford,Everton,ENG,GK
2233,Alexander Isak,Newcastle United,SWE,FW
2234,Anthony Gordon,Newcastle United,ENG,"LW,RW"
2235,Sean Longstaff,Newcastle United,ENG,CM
2236,Jacob Murphy,Newcastle United,ENG,RW
2237,Harvey Barnes,Newcastle United,ENG,LW
2238,Joelinton,Newcastle United,BRA,"LM,RM"
2239,Bruno Guimarães,Newcastle United,BRA,CM
2240,Miguel Almirón,Newcastle United,PAR,RW
2241,Sandro Tonali,Newcastle United,ITA,RM
2242,Joe Willock,Newcastle United,ENG,LM
2243,Lewis Hall,Newcastle United,ENG,LB
2244,William Osula,Newcastle United,DEN,LB
2245,Dan Burn,Newcastle United,ENG,CB
2246,Fabian Schär,Newcastle United,SUI,CB
2247,Valentino Livramento,Newcastle United,ENG,RB
2248,Nick Pope,Newcastle United,ENG,GK
2249,Danny Welbeck,Brighton & Hove Albion,ENG,FW
2250,Jan Paul van Hecke,Brighton & Hove Albion,NED,CB
2251,Evan Ferguson,Brighton & Hove Albion,IRL,FW
2252,Kaoru Mitoma,Brighton & Hove Albion,JPN,LM
2253,Yasin Ayari,Brighton & Hove Albion,SWE,"LM,FW"
2254,Julio Enciso,Brighton & Hove Albion,PAR,FW
2255,Jack Hinshelwood,Brighton & Hove Albion,ENG,CM
2256,Carlos Baleba,Brighton & Hove Albion,CMR,CM
2257,Mats Wieffer,Brighton & Hove Albion,NED,CM
2258,Georginio Rutter,Brighton & Hove Albion,FRA,RM
2259,Pervis Estupiñán,Brighton & Hove Albion,ECU,LB
2260,Ferdi Kadioglu,Brighton & Hove Albion,TUR,"LB,RM"
2261,Igor,Brighton & Hove Albion,BRA,CB
2262,Lewis Dunk,Brighton & Hove Albion,ENG,CB
2263,Joël Veltman,Brighton & Hove Albion,NED,RB
2264,Bart Verbruggen,Brighton & Hove Albion,NED,GK
2265,Raúl Jiménez,Fulham,MEX,FW
2266,Alex Iwobi,Fulham,NGA,"LW,DM,AM"
2267,Adama Traoré,Fulham,ESP,RW
2268,Reiss Nelson,Fulham,ENG,LW
2269,Emile Smith Rowe,Fulham,ENG,"AM,RW"
2270,Tom Cairney,Fulham,SCO,DM
2271,Sander Berge,Fulham,NOR,DM
2272,Harry Wilson,Fulham,WAL,RW
2273,Andreas Pereira,Fulham,BRA,DM
2274,Issa Diop,Fulham,FRA,CB
2275,Antonee Robinson,Fulham,USA,LB
2276,Calvin Bassey,Fulham,NGA,CB
2277,Joachim Andersen,Fulham,DEN,CB
2278,Kenny Tete,Fulham,NED,RB
2279,Bernd Leno,Fulham,GER,GK
2280,Ollie Watkins,Aston Villa,ENG,FW
2281,Jhon Durán,Aston Villa,COL,FW
2282,Jacob Ramsey,Aston Villa,ENG,LW
2283,Emi Buendía,Aston Villa,ARG,"AM,RW"
2284,Leon Bailey,Aston Villa,JAM,RW
2285,Jaden Philogene Bidace,Aston Villa,ENG,RW
2286,Morgan Rogers,Aston Villa,ENG,AM
2287,John McGinn,Aston Villa,SCO,LW
2288,Youri Tielemans,Aston Villa,BEL,DM
2289,Amadou Onana,Aston Villa,BEL,DM
2290,Ross Barkley,Aston Villa,ENG,DM
2291,Lucas Digne,Aston Villa,FRA,LB
2292,Pau Torres,Aston Villa,ESP,CB
2293,Diego Carlos,Aston Villa,BRA,CB
2294,Matty Cash,Aston Villa,POL,RB
2295,Emiliano Martínez,Aston Villa,ARG,GK
2296,Rasmus Højlund,Manchester United,DEN,FW
2297,Joshua Zirkzee,Manchester United,NED,FW
2298,Alejandro Garnacho,Manchester United,ARG,LW
2299,Noussair Mazraoui,Manchester United,MAR,LW
2300,Marcus Rashford,Manchester United,ENG,RW
2301,Bruno Fernandes,Manchester United,POR,AM
2302,Casemiro,Manchester United,BRA,DM
2303,Manuel Ugarte Ribeiro,Manchester United,URU,DM
2304,Christian Eriksen,Manchester United,DEN,DM
2305,Lisandro Martínez,Manchester United,ARG,LB
2306,Jonny Evans,Manchester United,NIR,CB
2307,Victor Lindelöf,Manchester United,SWE,CB
2308,Matthijs de Ligt,Manchester United,NED,CB
2309,Diogo Dalot,Manchester United,POR,RB
2310,André Onana,Manchester United,CMR,GK
2311,Kevin Schade,Brentford,GER,FW
2312,Fabio Carvalho,Brentford,POR,"AM,FW"
2313,Keane Lewis-Potter,Brentford,ENG,LW
2314,Yoane Wissa,Brentford,COD,"LW,AM"
2315,Mikkel Damsgaard,Brentford,DEN,"RW,LM"
2316,Bryan Mbeumo,Brentford,CMR,"AM,FW,RW"
2317,Vitaly Janelt,Brentford,GER,DM
2318,Yehor Yarmoliuk,Brentford,UKR,RM
2319,Christian Nørgaard,Brentford,DEN,"DM,CM"
2320,Kristoffer Ajer,Brentford,NOR,"LB,RB"
2321,Ethan Pinnock,Brentford,JAM,CB
2322,Nathan Collins,Brentford,IRL,CB
2323,Sepp van den Berg,Brentford,NED,RB
2324,Mads Roerslev,Brentford,DEN,LB
2325,Mark Flekken,Brentford,NED,GK
2326,Evanilson,Bournemouth,BRA,FW
2327,Enes Ünal,Bournemouth,TUR,FW
2328,Antoine Semenyo,Bournemouth,GHA,"LW,RW"
2329,Dango Ouattara,Bournemouth,BFA,RW
2330,Luis Sinisterra,Bournemouth,COL,LW
2331,Marcus Tavernier,Bournemouth,ENG,AM
2332,Ryan Christie,Bournemouth,SCO,DM
2333,Lewis Cook,Bournemouth,ENG,DM
2334,Alex Scott,Bournemouth,ENG,DM
2335,Justin Kluivert,Bournemouth,NED,AM
2336,Milos Kerkez,Bournemouth,HUN,LB
2337,Marcos Senesi,Bournemouth,ARG,CB
2338,Illia Zabarnyi,Bournemouth,UKR,CB
2339,Julian Araujo,Bournemouth,MEX,RB
2340,Adam Smith,Bournemouth,ENG,RB
2341,Kepa Arrizabalaga,Bournemouth,ESP,GK
2342,Kai Havertz,Arsenal,GER,FW
2343,Leandro Trossard,Arsenal,BEL,LW
2344,Gabriel Martinelli,Arsenal,BRA,LW
2345,Raheem Sterling,Arsenal,ENG,RW
2346,Jakub Kiwior,Arsenal,POL,CB
2347,Gabriel Jesus,Arsenal,BRA,RW
2348,Mikel Merino,Arsenal,ESP,"RW,AM"
2349,Ethan Nwaneri,Arsenal,ENG,AM
2350,Declan Rice,Arsenal,ENG,DM
2351,Thomas Partey,Arsenal,GHA,"DM,CB"
2352,Riccardo Calafiori,Arsenal,ITA,LB
2353,Gabriel Magalhães,Arsenal,BRA,CB
2354,William Saliba,Arsenal,FRA,CB
2355,Ben White,Arsenal,ENG,RB
2356,David Raya,Arsenal,ESP,GK
2357,Matheus Cunha,Wolverhampton Wanderers,BRA,FW
2358,Carlos Forbs,Wolverhampton Wanderers,POR,FW
2359,Jørgen Strand Larsen,Wolverhampton Wanderers,NOR,FW
2360,Gonçalo Guedes,Wolverhampton Wanderers,POR,FW
2361,Mario Lemina,Wolverhampton Wanderers,GAB,CM
2362,André,Wolverhampton Wanderers,BRA,CM
2363,Tommy Doyle,Wolverhampton Wanderers,ENG,CM
2364,João Gomes,Wolverhampton Wanderers,BRA,CM
2365,Jean-Ricner Bellegarde,Wolverhampton Wanderers,FRA,CM
2366,Rayan Aït-Nouri,Wolverhampton Wanderers,ALG,WB
2367,Nélson Semedo,Wolverhampton Wanderers,POR,WB
2368,Toti Gomes,Wolverhampton Wanderers,POR,CB
2369,Craig Dawson,Wolverhampton Wanderers,ENG,CB
2370,Santiago Bueno,Wolverhampton Wanderers,URU,CB
2371,José Sá,Wolverhampton Wanderers,POR,GK
2372,Erling Haaland,Manchester City,NOR,FW
2373,Jeremy Doku,Manchester City,BEL,"LM,RM"
2374,Phil Foden,Manchester City,ENG,"CM,RM"
2375,Bernardo Silva,Manchester City,POR,"CM,RM"
2376,İlkay Gündoğan,Manchester City,GER,"CM,DM"
2377,Savinho,Manchester City,BRA,"RM,LM"
2378,Jack Grealish,Manchester City,ENG,LM
2379,Mateo Kovačić,Manchester City,CRO,DM
2380,Matheus Nunes,Manchester City,POR,CM
2381,Joško Gvardiol,Manchester City,CRO,LB
2382,Rúben Dias,Manchester City,POR,CB
2383,John Stones,Manchester City,ENG,CB
2384,Rico Lewis,Manchester City,ENG,RB
2385,Ederson,Manchester City,BRA,GK
2386,Diogo Jota,Liverpool,POR,FW
2387,Darwin Núñez,Liverpool,URU,FW
2388,Cody Gakpo,Liverpool,NED,LW
2389,Luis Díaz,Liverpool,COL,LW
2390,Mohamed Salah,Liverpool,EGY,RW
2391,Dominik Szoboszlai,Liverpool,HUN,AM
2392,Curtis Jones,Liverpool,ENG,DM
2393,Alexis Mac Allister,Liverpool,ARG,DM
2394,Ryan Gravenberch,Liverpool,NED,DM
2395,Andrew Robertson,Liverpool,SCO,LB
2396,Virgil van Dijk,Liverpool,NED,CB
2397,Ibrahima Konaté,Liverpool,FRA,CB
2398,Trent Alexander-Arnold,Liverpool,ENG,RB
2399,Joe Gomez,Liverpool,ENG,RB
2400,Caoimhín Kelleher,Liverpool,IRL,GK
2401,Nicolas Jackson,Chelsea,SEN,FW
2402,Jadon Sancho,Chelsea,ENG,LW
2403,Pedro Neto,Chelsea,POR,"LW,RW"
2404,Noni Madueke,Chelsea,ENG,RW
2405,Christopher Nkunku,Chelsea,FRA,LW
2406,Cole Palmer,Chelsea,ENG,AM
2407,Roméo Lavia,Chelsea,BEL,DM
2408,Enzo Fernández,Chelsea,ARG,DM
2409,Moisés Caicedo,Chelsea,ECU,DM
2410,Malo Gusto,Chelsea,FRA,"LB,RB"
2411,Levi Colwill,Chelsea,ENG,CB
2412,Tosin Adarabioyo,Chelsea,ENG,CB
2413,Benoît Badiashile,Chelsea,FRA,CB
2414,Reece James,Chelsea,ENG,RB
2415,Renato Veiga,Chelsea,POR,LB
2416,Robert Sánchez,Chelsea,ESP,GK
2417,Chris Wood,Nottingham Forest,NZL,FW
2418,Taiwo Awoniyi,Nottingham Forest,NGA,FW
2419,Callum Hudson-Odoi,Nottingham Forest,ENG,LW
2420,Ramón Sosa,Nottingham Forest,PAR,LW
2421,Anthony Elanga,Nottingham Forest,SWE,RW
2422,Jota Silva,Nottingham Forest,POR,RW
2423,Elliot Anderson,Nottingham Forest,ENG,AM
2424,Neco Williams,Nottingham Forest,WAL,LM
2425,Nicolás Domínguez,Nottingham Forest,ARG,"DM,CM"
2426,Ryan Yates,Nottingham Forest,ENG,"DM,CM"
2427,Álex Moreno,Nottingham Forest,ESP,LB
2428,Morato,Nottingham Forest,BRA,CB
2429,Murillo,Nottingham Forest,BRA,CB
2430,Nikola Milenković,Nottingham Forest,SRB,CB
2431,Ola Aina,Nottingham Forest,NGA,"RB,RM"
2432,Matz Sels,Nottingham Forest,BEL,GK
2433,Eddie Nketiah,Crystal Palace,ENG,FW
2434,Jean-Philippe Mateta,Crystal Palace,FRA,FW
2435,Eberechi Eze,Crystal Palace,ENG,"FW,AM"
2436,Tyrick Mitchell,Crystal Palace,ENG,LW
2437,Jeffrey Schlupp,Crystal Palace,GHA,WB
2438,Daniel Muñoz,Crystal Palace,COL,"RW,WB"
2439,Daichi Kamada,Crystal Palace,JPN,CM
2440,Asher Agbinone,Crystal Palace,ENG,CM
2441,Will Hughes,Crystal Palace,ENG,CM
2442,Ismaila Sarr,Crystal Palace,SEN,AM
2443,Jefferson Lerma,Crystal Palace,COL,"DM,CM"
2444,Marc Guéhi,Crystal Palace,ENG,CB
2445,Maxence Lacroix,Crystal Palace,FRA,CB
2446,Trevoh Chalobah,Crystal Palace,ENG,CB
2447,Dean Henderson,Crystal Palace,ENG,GK
2448,Jamie Vardy,Leicester City,ENG,FW
2449,Stephy Mavididi,Leicester City,ENG,LW
2450,Jordan Ayew,Leicester City,GHA,LW
2451,Abdul Fatawu Issahaku,Leicester City,GHA,"RW,RM"
2452,Facundo Buonanotte,Leicester City,ARG,"AM,CM"
2453,Harry Winks,Leicester City,ENG,"DM,LM"
2454,Wilfred Ndidi,Leicester City,NGA,"DM,CM"
2455,Boubakary Soumaré,Leicester City,FRA,CM
2456,James Justin,Leicester City,ENG,"LB,CB"
2457,Caleb Okoli,Leicester City,ITA,CB
2458,Wout Faes,Leicester City,BEL,CB
2459,Ricardo Pereira,Leicester City,POR,RB
2460,Bilal El Khannouss,Leicester City,MAR,RW
2461,Mads Hermansen,Leicester City,DEN,GK
2462,Chris Wood,Nottingham Forest,NZL,FW
2463,Taiwo Awoniyi,Nottingham Forest,NGA,FW
2464,Callum Hudson-Odoi,Nottingham Forest,ENG,"LW,LM"
2465,Ramón Sosa,Nottingham Forest,PAR,LM
2466,Anthony Elanga,Nottingham Forest,SWE,"RW,RM"
2467,Jota Silva,Nottingham Forest,POR,RM
2468,Elliot Anderson,Nottingham Forest,ENG,AM
2469,Neco Williams,Nottingham Forest,WAL,LB
2470,Nicolás Domínguez,Nottingham Forest,ARG,"DM,CM"
2471,Ryan Yates,Nottingham Forest,ENG,"DM,CM"
2472,Álex Moreno,Nottingham Forest,ESP,LB
2473,Morato,Nottingham Forest,BRA,CB
2474,Murillo,Nottingham Forest,BRA,CB
2475,Nikola Milenković,Nottingham Forest,SRB,CB
2476,Ola Aina,Nottingham Forest,NGA,RB
2477,Matz Sels,Nottingham Forest,BEL,GK
2478,Yoane Wissa,Brentford,COD,FW
2479,Keane Lewis-Potter,Brentford,ENG,LW
2480,Fabio Carvalho,Brentford,POR,LW
2481,Bryan Mbeumo,Brentford,CMR,RW
2482,Mikkel Damsgaard,Brentford,DEN,AM
2483,Kevin Schade,Brentford,GER,AM
2484,Vitaly Janelt,Brentford,GER,DM
2485,Christian Nørgaard,Brentford,DEN,DM
2486,Mathias Jensen,Brentford,DEN,DM
2487,Sepp van den Berg,Brentford,NED,LB
2488,Ethan Pinnock,Brentford,JAM,CB
2489,Nathan Collins,Brentford,IRL,CB
2490,Mads Roerslev,Brentford,DEN,RB
2491,Mark Flekken,Brentford,NED,GK
2492,George Hirst,Ipswich Town,ENG,FW
2493,Liam Delap,Ipswich Town,ENG,FW
2494,Sammie Szmodics,Ipswich Town,IRL,LW
2495,Jack Clarke,Ipswich Town,ENG,"LM,CM"
2496,Chiedozie Ogbene,Ipswich Town,IRL,RW
2497,Wes Burns,Ipswich Town,WAL,"RW,RM,RB"
2498,Conor Chaplin,Ipswich Town,ENG,AM
2499,Luke Woolfenden,Ipswich Town,ENG,"RB,CB"
2500,Jens Cajuste,Ipswich Town,SWE,"DM,CM"
2501,Conor Townsend,Ipswich Town,ENG,CM
2502,Kalvin Phillips,Ipswich Town,ENG,"DM,CM"
2503,Leif Davis,Ipswich Town,ENG,LB
2504,Cameron Burgess,Ipswich Town,AUS,CB
2505,Dara O'Shea,Ipswich Town,IRL,CB
2506,Harry Clarke,Ipswich Town,ENG,RB
2507,Arijanet Muric,Ipswich Town,KVX,GK
2508,Danny Welbeck,Brighton & Hove Albion,ENG,FW
2509,Evan Ferguson,Brighton & Hove Albion,IRL,FW
2510,Georginio Rutter,Brighton & Hove Albion,FRA,FW
2511,Tariq Lamptey,Brighton & Hove Albion,GHA,RB
2512,Kaoru Mitoma,Brighton & Hove Albion,JPN,LM
2513,Julio Enciso,Brighton & Hove Albion,PAR,LM
2514,Yasin Ayari,Brighton & Hove Albion,SWE,CM
2515,Carlos Baleba,Brighton & Hove Albion,CMR,CM
2516,Mats Wieffer,Brighton & Hove Albion,NED,CM
2517,Ferdi Kadioglu,Brighton & Hove Albion,TUR,RM
2518,Brajan Gruda,Brighton & Hove Albion,GER,RM
2519,Pervis Estupiñán,Brighton & Hove Albion,ECU,LB
2520,Igor,Brighton & Hove Albion,BRA,CB
2521,Jan Paul van Hecke,Brighton & Hove Albion,NED,CB
2522,Joël Veltman,Brighton & Hove Albion,NED,"RB,CB"
2523,Bart Verbruggen,Brighton & Hove Albion,NED,GK
2524,Jørgen Strand Larsen,Wolverhampton Wanderers,NOR,FW
2525,André,Wolverhampton Wanderers,BRA,"CM,FW"
2526,Matheus Cunha,Wolverhampton Wanderers,BRA,"FW,AM"
2527,João Gomes,Wolverhampton Wanderers,BRA,"CM,AM"
2528,Gonçalo Guedes,Wolverhampton Wanderers,POR,"CM,FW"
2529,Mario Lemina,Wolverhampton Wanderers,GAB,CM
2530,Pablo Sarabia,Wolverhampton Wanderers,ESP,RM
2531,Tommy Doyle,Wolverhampton Wanderers,ENG,CM
2532,Rayan Aït-Nouri,Wolverhampton Wanderers,ALG,"LB,WB"
2533,Nélson Semedo,Wolverhampton Wanderers,POR,"RB,WB"
2534,Toti Gomes,Wolverhampton Wanderers,POR,CB
2535,Carlos Forbs,Wolverhampton Wanderers,POR,LM
2536,Rodrigo Gomes,Wolverhampton Wanderers,POR,LM
2537,Craig Dawson,Wolverhampton Wanderers,ENG,CB
2538,Santiago Bueno,Wolverhampton Wanderers,URU,CB
2539,José Sá,Wolverhampton Wanderers,POR,GK
2540,Erling Haaland,Manchester City,NOR,FW
2541,Matheus Nunes,Manchester City,POR,LM
2542,İlkay Gündoğan,Manchester City,GER,CM
2543,Bernardo Silva,Manchester City,POR,"CM,RM"
2544,Phil Foden,Manchester City,ENG,CM
2545,Savinho,Manchester City,BRA,"RM,LM"
2546,Mateo Kovačić,Manchester City,CRO,DM
2547,Joško Gvardiol,Manchester City,CRO,LB
2548,Rúben Dias,Manchester City,POR,CB
2549,Manuel Akanji,Manchester City,SUI,CB
2550,Rico Lewis,Manchester City,ENG,RB
2551,John Stones,Manchester City,ENG,"CB,RB"
2552,Ederson,Manchester City,BRA,GK
2553,Cameron Archer,Southampton,ENG,FW
2554,Paul Onuachu,Southampton,NGA,FW
2555,Mateus Fernandes,Southampton,POR,"LM,CM"
2556,Adam Lallana,Southampton,ENG,CM
2557,Joe Aribo,Southampton,NGA,CM
2558,Flynn Downes,Southampton,ENG,CM
2559,Kamaldeen Sulemana,Southampton,GHA,"LM,CM"
2560,Tyler Dibling,Southampton,ENG,RM
2561,Adam Armstrong,Southampton,ENG,RM
2562,Ryan Manning,Southampton,IRL,LB
2563,James Bree,Southampton,ENG,RB
2564,Jack Stephens,Southampton,ENG,CB
2565,Jan Bednarek,Southampton,POL,CB
2566,Taylor Harwood-Bellis,Southampton,ENG,CB
2567,Kyle Walker-Peters,Southampton,ENG,"RB,LB"
2568,Aaron Ramsdale,Southampton,ENG,GK
2569,Ollie Watkins,Aston Villa,ENG,FW
2570,Boubacar Kamara,Aston Villa,FRA,CM
2571,Morgan Rogers,Aston Villa,ENG,FW
2572,Jhon Durán,Aston Villa,COL,FW
2573,Jacob Ramsey,Aston Villa,ENG,LM
2574,Youri Tielemans,Aston Villa,BEL,CM
2575,Amadou Onana,Aston Villa,BEL,CM
2576,Ross Barkley,Aston Villa,ENG,"CM,FW"
2577,John McGinn,Aston Villa,SCO,RM
2578,Leon Bailey,Aston Villa,JAM,RM
2579,Lucas Digne,Aston Villa,FRA,LB
2580,Ian Maatsen,Aston Villa,NED,LB
2581,Pau Torres,Aston Villa,ESP,CB
2582,Ezri Konsa,Aston Villa,ENG,CB
2583,Matty Cash,Aston Villa,POL,RB
2584,Emiliano Martínez,Aston Villa,ARG,GK
2585,Enes Ünal,Bournemouth,TUR,FW
2586,Evanilson,Bournemouth,BRA,FW
2587,Antoine Semenyo,Bournemouth,GHA,LW
2588,Dango Ouattara,Bournemouth,BFA,"RW,LB"
2589,Justin Kluivert,Bournemouth,NED,AM
2590,Marcus Tavernier,Bournemouth,ENG,AM
2591,Lewis Cook,Bournemouth,ENG,DM
2592,Ryan Christie,Bournemouth,SCO,DM
2593,Tyler Adams,Bournemouth,USA,DM
2594,Milos Kerkez,Bournemouth,HUN,LB
2595,David Brooks,Bournemouth,WAL,RW
2596,Marcos Senesi,Bournemouth,ARG,CB
2597,Illia Zabarnyi,Bournemouth,UKR,CB
2598,Julian Araujo,Bournemouth,MEX,RB
2599,Adam Smith,Bournemouth,ENG,RB
2600,Mark Travers,Bournemouth,IRL,GK
2601,Dominic Calvert-Lewin,Everton,ENG,FW
2602,Beto,Everton,GNB,FW
2603,Iliman Ndiaye,Everton,SEN,LW
2604,Jack Harrison,Everton,ENG,RW
2605,Jesper Lindstrøm,Everton,DEN,RW
2606,Dwight McNeil,Everton,ENG,AM
2607,Jarrad Branthwaite,Everton,ENG,CB
2608,Idrissa Gana Gueye,Everton,SEN,DM
2609,Abdoulaye Doucouré,Everton,MLI,DM
2610,Orel Mangala,Everton,BEL,DM
2611,Vitaliy Mykolenko,Everton,UKR,LB
2612,Michael Keane,Everton,ENG,"CB,AM"
2613,James Tarkowski,Everton,ENG,CB
2614,Ashley Young,Everton,ENG,RB
2615,Jordan Pickford,Everton,ENG,GK
2616,Raúl Jiménez,Fulham,MEX,FW
2617,Rodrigo Muniz,Fulham,BRA,FW
2618,Alex Iwobi,Fulham,NGA,"LW,RW"
2619,Jorge Cuenca,Fulham,ESP,CB
2620,Adama Traoré,Fulham,ESP,RW
2621,Reiss Nelson,Fulham,ENG,"LW,LM"
2622,Emile Smith Rowe,Fulham,ENG,AM
2623,Harrison Reed,Fulham,ENG,"DM,CM"
2624,Sander Berge,Fulham,NOR,"DM,CM"
2625,Andreas Pereira,Fulham,BRA,DM
2626,Harry Wilson,Fulham,WAL,"AM,RM"
2627,Antonee Robinson,Fulham,USA,LB
2628,Calvin Bassey,Fulham,NGA,CB
2629,Issa Diop,Fulham,FRA,CB
2630,Kenny Tete,Fulham,NED,RB
2631,Bernd Leno,Fulham,GER,GK
2632,Nicolas Jackson,Chelsea,SEN,FW
2633,Christopher Nkunku,Chelsea,FRA,FW
2634,Pedro Neto,Chelsea,POR,"LW,RW"
2635,Noni Madueke,Chelsea,ENG,RW
2636,Mykhailo Mudryk,Chelsea,UKR,LW
2637,Cole Palmer,Chelsea,ENG,AM
